P1A1,P1A2,P1A3,P1A4,P1A5,P1A6,P2A1,P2A2,P2A3,P2A4,P2A5,P2A6
 5 (21), strawberry (10), skateboard, pics (18) ," elephant (53)",, 8 (24), grape (24), ball (9), honeymoon , hippo (9),
 Home (26), 70, Child, gas ," balls (23)",, Car (19), 60 (7), Family (2), BENGAY (19) , paddles (61),
 Car (34), yr. (30), cotton, hair ," turtle",, Purse (7), half-yr. (7), aluminum (22), dishes (32) , cat (48),
 Spanish (38), 13, condoms (7), roller coaster (48) ," basketball",, French (21), 15, beer (35), merry-go-rd. (21) , football (50),
 10 (11), plane (15), cowl (8), twisty tie ," car (62)",, 8 (11), Dr.'s office (27), howl (16), mind , girlfriend,
 40 (21), raccoon, white (17), slinky (10) ," pie (57)",, 35 (2), dog (9), yellow (18), stinky (9) , bottom jeans,
 Presents (22), scorpion (3), police officer, 12hrs (2) ," ring (62)",, Sleigh (47), snail (4), physician/surgeon (22), 2hrs (33) , nails,
 Aspirin/medicine (44), 21 (11), bottom-feeders, (beer) belly (42) ," car (3)",, Thermometer, 18 (4), good to eat (32), tummy (21) , homes (10),
 High school reunion (21), 6th (19), sew clothes, rattle (53) ," plastic (38)",, Wedding (41), 3rd (5), sex (28), bottle , suede,
 Paying bills (13), 5 (34), 50 (40), back (43) ," food (23)",, Work (23), 21 (13) , butt (45),,,
 100 (3), watching TV/movies (26), oysters (3), spouse/mate (36) ," neck (9)",, 30 (3), playing on facebook (7), clam (9), mom (6) , back (55),
 Cat (3), jump rope (3), watermelon (13), 10 (5) ," spouse/mate (54)",, Racoon (13), tag (22), tomato (2), three (31) , clothes (15),
 Children (44), 50 (20), boxers (42), elves (26) ," Mom (51)",, Dog (31), 35, blood, Ms. Claus , Teacher ,
 Long (24), down (11), movie (32), eat (27) ," one (16)",, Healthi-, clown (6), sleeping (10), talk/scream (40) , three (23) ,
 Debt-free home (26), Dec. (27), 8 (12), pets (7) ," ball (15)",, Children (6), Jan. (2), 6 (9), like to eat (5) , body (8),
 Dog, lose (9), shampoo (43), mister (45) ," every wk. (53)",, Debris, waste, hair dye , twice a wk. (2),,
 Keys (43), catfish (25), carpet (6), poop (34) ," his mom (45)",, Wallet, trout (14), sofa (11), roaches (12) , girlfriend (5),
 Feet (10), lasagna (14), 2, eyewear (2) ," bear (7)",, Breasts (20), linguine (10), 10 (11), shoes , lion (2) ,
 Men (19), 9 (2), mom (21), bear (37) ," foot (15)",, Wine (15), 6 (5), spouse/mate (17), porcupine (10) , throat (3),
 Cries (44), 30min (26), rice (14), parks ," crystal ball (56)",, Takes a dump/tinkles (45), 40min, chicken, bar (12) , veil,
 Bar/club (31), 12 (31), smell (36), CA (30) ," chicken (49)",, Strip joint, 13 (33), slow, FL , ewe  ,
 Travel too much (39), thunder, five (29), dancing ," red (46)",, Don't care about you, in a bottle, six (18), music (43) , blue (40),
 12 (5), helmet, basketball (19), church (10) ," Mouse (48)",, 10 (11), lights (10), hockey (20), salon (31) , Bear (8),
 8 (28), crank call, clothes (37), ham ," baseball (42)",, 6 (5), gossip (24), hair (20), situation , golf,
 2 (9), bikes (15), -s and stones may break my bones, sleeping (15) ," jail (10)",, 4 (6), toys/dolls (27), figure (7), partying , work (52),
 $1K (3), heart (23), class, mascara (45) ," whitening treatment (4)",, 10%, stomach (4), world (35), eyelash curler , toothpaste (52),
 $1M (21), white (3), potato (2), jailer/guard (33) ," sister (4)",, $10M, Jam (23), asparagus, warden (9) , mom (15),
 Watching TV (25), hips (23), Dec. (29), cake (27) ," work (37)",, Reading, thighs, Apr., glass (43) , getting up (56),
 Stop (29), 50% (25), doctor (13), mom (9) ," toe",, Slow down (23), 75% (3), lawyer (8), friends (37) , ankle (6),
 Stomach (20), ham (18), 8 (36), hot dog (18) ," sharks (51)",, Butt (10), cheese (7), 7 (26), hamburger (42) , rip currents,
 Checks mail (29), 5 (27), head (35), red (43) ," home (58)",, Mow lawn, 6 (5), sandwich (35), yellow , car,
 Dontzen, three (21), lacrosse, water (23) ," martyr (11)",, Vixen (4), two (16), curling (6), bubbles (13) , farter (4),
 Watch sports (24), 10 (11), hatter (28), toy (19) ," Cookie Monster (2)",, Mow yard, 7 (13), mouse (32) , Animal (6),,
 Pigeon (26), swimsuit (12), tomato (11), 10 (11) ," car (49)",, Crow (14), $ (11), mashed potatoes (2), 9 (15) , boat,
 10 (24), motorcycle/scooter (29), pizza, limit (7) ," waves in the ocean (48)",, 5 (11), grandma (12), banana, trap (14) , babbling creek (2),
 CA, 9PM (26), feed goats (23), cement (42) ," nothin' (60)",, NY (20), 10PM (23), dig, asphalt (37) , something,
 Lion (41), eyeliner, 26, doctor (41) ," ball (60)",, Tiger (4), umbrella, 18 (21), EMT (12) , finger,
 8 (19), spaghetti (14), Wed. (13), spilling (2) ," love (49)",, 7 (7), cereal/oatmeal (31), Mon. (26), eating (26) , food (30),
 Wk. (25), duster (23), cards ," cow (39)",,, 2wks (31), cluster (15), cookies (31), feed (20) , pig (49),
 Two days, teeth (11), rabbits (12), glue (32) ," Tallahassee (7)",, Three months, bags (4), bugs (21), tape (17) , Ft. Lauderdale (6),
 8 (10), lion (24), coffee machine, mom (15) ," rope",, 10 (21), shark (2), car (2), mate/date (34) , toothbrush (2),
 Eight (26), hole puncher (15), porno (10), mom (11) ," legs (45)",, Six (10), moles (6), drugs (19), sister (17) , lumbar ,
 Five (24), sleep (39), candy (33), Sun (35) ," wolf (57)",, 10 (19), sit on couch, pie, plane , lion,
 Kennedy (34), 8 (28), weight (23), goat (2) ," banana (49)",, Lincoln (39), 7 (14), horse (2) , macaroni,,
 Dr. (8), France (16), salami (2) ," mouse (41)",,, Italy (2), bologna (3) , hamster (16),,,
 Food (35), two (26), Straw (45), grasshopper (13) ," shower (40)",, Drinks (33), three (21), Blue, frog , spa/sauna/steam rm.,
 Mall (38), three (26), peach (36), sprinkles fairy dust (6) ," clothes (56)",, Vacation (33), five (7), orange, flies , car,
 Remote (27), grits, family reunion (3), 10 (42) ," gas (41)",, Booty, cereal/oatmeal (32), wedding (39), five (26) , pets,
 NOTHING, twice (19), sesame (20), ham (34) ," lamp (12)",, Speedo, three (13), door (25), Sam , TV (18),
 Two (25), grapes (12), brother (9), tools ," stick (47)",, One (9), strawberries (17), mom (3), tires (32) , mouth,
 Fridge, get out of the home, Jamaican (5), 30lbs (36) ," shoe (25)",, Bed (20), stop (2), French (22), 40lbs (6) , furniture (10),
 Hat (40), football (37), day (34), heart ," Blue",, Jacket (11), basketball, two days (33), nose (30) , Dip,
 Friends (33), football (20), half-hr. (7), judge (32) ," apple (64)",, Her mom (39), basketball (16), 5min , cherry ,,
 Mom (30), speeding (28), baseball (26), 5min ," road (65)",, Spouse/mate (37), sporting event (14), soccer, 30min , bowling alley,
 Fingers (6), 8 (12), Security (13), pebbles (31) ," New Yr.'s (4)",, Butt (15), 7 (20), Crossing (2), plants (11) , Christmas (16),
 Three (2), cat (3), boss (17), chain (8) ," mouse (51) ",, 15 (3), dog (10), mom (5), hook (31) , bear (18),
 Lock doors (18), cat (17), roller coaster (29), 10 (34) ," the future (54)",, Close windows, bat (12), seesaw (2) , 9 (2),,
 Sleeping (42), $ (31), 7AM (34), lube (26) ," nasty (10)",, Horny (19), car (29), 6AM (38), boob , cold,
 God, koala (6), football (9), couch (9) ," 10 (50)",, Her (28), giraffe (2), tennis (9), refrigerator (32) , 11 (19),
 Spouse/mate (4), baste (14), basket (28), $1K (16) ," jail (4)",, Dad (11), clean (18), foot (13), $10K (2) , trouble,
 Growls, 13 (26), wig/hair (37), under mat (45) ," leave (20)",, Barks/whines (28), 14 (16), barrettes (2), in vase (10) , leave note (51) ,
 School (11), 25 (23), baseball (4), dishes (41) ," world (53)",, Church (25), 13 (2), basketball (28), brush teeth (29) , land,
 9 (13), cornbread (17), elephant (19), lock ," North Carolina",, 7 (9), greens (4), car (4), reaction (24) , San Diego,
 Mom (12), 5% (29), poker, rubber ducky (9) ," food",, Spouse/mate (21), 10% (21), chess (18), rubber band (15) , other people (7) ,
 Clean house (30), 5 (8), bat (7), face (49) ," toys (51)",, Cook, 10 (4), vampire (45), hair (11) , water/soap,
 Three (7), beds/sheets (37), fish, saxophone (11) ," $ (50)",, Four (32), gowns, milk (28), trumpet (23) , home (27),
 French fries (3), four, vacay, bing (2) ," hair (56)",, Pasta, 12 (26), anniv. (2), hing , legs (10),
 Stroller (14), 10 (11), party (6), stomach (17) ," butter (17)",, Bottle, 9, vows (3), feet/toes (34) , jelly (61),
 Hip (40), 10 (26), bug (36) ," scales (7)",,, Leg (13), 9 (8), formula (11), band (38) , gills (59),
 Mentality/brain (48), 10ft (24), presents (23), softball/baseball (40) ," horse (52)",, Attitude (2), 12ft (3), Santa, ping-pong , giraffe– BRUTAL (VB),
 5 (17), Dec. (7), phone (26), dishwasher (35) ," skis (57)",, 7 (13), Aug. (7), toll (14), janitor (9) , poles (2),
 Take care of in bed (3), once a wk. (11), drink (26), apple (36) ," dance (52)",, Clean/housework (45), once a month (16), smoke (30) , orange,,
 Wigs (2), 10 (9), Lisa (12), children (15) ," Rudolph (42) ",, China, 5 (23), Lois (4), animals (34) , Dancer (14),
 Burger (41), 12 (29), too expensive (27), date (41) ," Kentucky (51)",, Hot dog (21), four, crowded, signature , Demolition ,
 $1K (23), tea (7), L.A. (5), buzzer ," spouse/mate (52)",, $2K (10), wine (10), NY (28), ball (20) , mom (4),
 6 (6), pie (11), New Orleans (3), horse (16) ," glasses (9)",, 9 (13), walk (8), L.A. (2), cheetah (32) , clothes (54),
 10 (23), go to sleep early (32), men (40), soccer (46) ," toilet (45)",, 15 (4), eat later (25), $, baseball , sink,
 Lights (34), 6 (9), orange (21), concert (48) ," lizard (35)",, Sink, 10 (5), banana (2- cantaloupe tied for #1), amusement park (7) , alligator/crocodile (4),
 Hr. (11), rat (19), pillow (24), bake (11) ," belly (43)",, Wk. (10), bug (16), blanket (20- pet tied for #1), steak/stake (2) , face (16),
 Having sex (12), 12, clothes (24), Mon. (32) ," donkey (12)",, Bathing/showering (47), eight (23), dishes (26), Fri. (3) , cow (25),
 Clothes (11), 7 (12), funeral (31), bird (26) ," purple (61)",, Toys (22), 10 (16), wedding (38), house , pink,
 30 (8), fight, violet (28), hands ," church (49)",, 40 (22), mike (10), orchid (6), ball (15) , school (18),
 Baseball (28), 5 (27), smoke (6), beer (12) ," shower/bath (45)",, Football (24), 8 (7), head (8), steer , fill pool,
 Spouse/mate (29), three (20), jumper cables (17) ," cemetery (52)",,, Brother, five (19), chicken (21), bat , haunted house (9),
 Thong (7), hill (30), eat (34), cat (42) ," CA (31)",, Dress (3), moon (28- rainbow tied for #1), poop (16), hamster (3) , FL (55),
 Strip club (13), 5 (19), go-go dancer, belly (32) ," purple (54)",, Online (32), 10 (2), coach (37), butt (49) , red,
 Car (37), 10 (25), podiatrist, making $ (31) ," hairspray",, Bike, 9 (11), waiter/waitress (28), coworkers (45) , deodorant (25),
 20 (22), phone (22), bear (21), buttercup ," soap (3)",, 10 (20), book (12), lion (21), strawberry (7) , toilet paper (19),
 2 (5), pig (14), base (28), socks (30) ," Good (58)",, 5 (24), dog (16), golf (29), hat , pot,
 Bone (40), blanket (21), dress (4), singing (27) ," boat (29)",, Ball/toy (42), sweater (7), smile (18), prayer (48) , airplane,
 3 (7), dodgeball (2), cinnamon (26), eye (30) ," elastic (15)",, 8 (10), tag (14), cumin (3), base , health,
 Cane (3), half-yr. (5), zero (23), knee (18) ," grasshopper (13)",, Shoes/clothes (21), month (15), hog (27), butt (34) , frog (19),
 Santa (11), lion (3), 10 (7), sick (36) ," ball(s)(39)",, Snowman (9), bear (26), 8 (9), somebody died (5) , court (6),
 Pajamas/nightgown (47), 20 (14), bellybutton, lion (25) ," 1st (58)",, Undies (7), 40 (6), stomach (22), elephant (31) , home plate,
 $500 (9), speak (36), (dog) poop (37), pinch (46) ," my life (39)",, $10K, sleep, trash (33), lynch , day,
 6 (15), German Shepherd, the wine, walker (4) ," beef jerky",, 5 (25), chihuahua (29), tense, highchair (9) , potato chips (52),
 5 (13), air conditioner/fan (23), hot (28), undies (15) ," church",, 8 (13), jacket, butter, socks (19) , restaurant (18),
 A+ (40), 10 (8), Vicki/Vickie/Vicky/Victoria (29), NY (43) ," business (57)",, 10, 5 (26), Veronica, Chicago , manners ,
 $5, make bed (7), cake (29), cheeks ," eat (3)",, $1 (20), dress (6), cookies (2), hands (36) , stretch out (3),
 Cow (3), walk (4), squeegee (16), lights (31) ," $20K",, Rabbit (2), break (27), Windex (23), staff (2) , $5M (3),
 5 (8), cry, soda pop (39), pray (27) ," kids (42)",, 6 (4), look for food (22), soda can (3), brush teeth , $ (49),
 Five (24), cat (33), stem (31), crab (47) ," to get on sleigh (17)",, Four, cob, petal (44), lobster (40) , chimney,
 Three (7), -ries, mom (22), prom (37) ," milk (65)",, Five (23), tissue (26), spouse/mate (22), wedding , cheese,
 Having sex (6), home (14), 225lbs, top (36) ," grapes (18)",, Cooking (dinner), jewelry (21), 135lbs , apple (59),,
 Cars, 50% (21), car seat (23), marriage ," take sleeping pill (45)",, Tools (2), 40% (14), onesie (17), car (13) , warm glass of milk (16),
 Alcohol (19), 10 (8), train (13), ex/spouse (43) ," pocket (52)",, Home (2), 6 (13), plane, affair (7) , sprocket (4),
 10 (27), vacay (10), sleep (18), Nov. (27) ," necklace (51)",, Five (33), restaurant (22), go to doctor , Dec. (5),,
 Asp/baton (30), breaking the glass, fight (24), my rm. (49) ," hr. (56)",, Taser (30), dance (21), case, den , half-hr.,
 Veil (30), duck (21), 5AM (41), SUPERMAN (48) ," meow (50)",, Dress (10), mouse, 4AM, BATMAN , crawl,
 Yr., carton, ferret (5), poker (38) ," Dr. (53)",, Two months, Duds (17), hamster (15), canasta (3) , police officer (2),
 10 (24), in a family way, tides, salmon (31) ," material (54)",, 5 (8- 8 tied for #1), knocked up (17), hills (8), cod (5) , mulch (3),
 Bud Light/Budweiser (41), $500 (2), cars (35), burly (40) ," fries (57)",, Miller (11), $5K, other people, surly (24) , burger,
 Car/truck (35), 2 days (25), mashed (5), elephant (39) ," alcohol (48)",, Home (20), 24hrs (38), big, whale , soda,
 7 (19), work (15), chips (2) ," butt (4)",,, 80%, exercise (20), candy (8) , breasts (32),,
 10 (9), tennis (2), gifts (20), knob (26) ," illness (47)",, 9 (7), golf (11), love (3), bell (31) , being in love,
 Monkeys (20), two (25), baseball game (23), walk (22) ," Spring",, Bananas (22), three (20), wedding (30), flying (30) , Mar. (31),
 Headphones, bike (34), gun, monkey ," wedding (50)",, Seatbelt (20), treadmill, lock, dogs (11) , anniversary (3),
 Phone (5), 7 (10), coffee/food (20), song (37) ," ear (59)",, Money (23), 10 (5), arguments, strong (12) , nose (19),
 Jul. (33), 15 (26), belly (25), swimming pool (24) ," tractor (52)",, Jun. (39), 13 (25- 15 tied w/ 16), pecs, beach/ocean , farm,
 15 (22), monkey (14), ram, eyebrow (43) ," hose (54)",, 20 (16), dog (24), French (8), nose (21) , axe ,
 Five (3), Apr. (23), parents (15), cat (11) ," apple (18)",, Six, Oct. (5), brother (5), rabbit (3) , orange (51),
 Wedding (24), 6 (5), vitamin C (5), sh***er (2) ," turtle",, Concert (4), 2 (14), exercise (25), John (38) , fly,
 7 (15), Lizzy (27), bar/nightclub (33), rich (47) ," horse (36)",, 6 (4), nizzy, sporting event, muscles (3) , cow ,
 One, tree (8), school bus, bacon (3) ," muscles (6)",, Five (20), decorations/ornaments (23), bird (3), chocolate (11) , gas,
 8 (15), bathroom (40), drugs (41), potatoes (30) , perfume (2),, 9 (4), utensils, knife (20), chicken (wings)(43) , makeup (52),
 Presents (10), McDonald's (8), 8 (23), home (34) ," rear-end (8)",, Pipe (3), bathroom (23), 7 (21), car (7) , belly (54),
 Animals (42), 11 (13), red (38), sports bottle (18) ," foot (2)",, Crops (26), 9AM (10), yellow (11), hair , base (45),
 Three (33), butterfly (20), beer (35), match (10) ," silk (29)",, One (16), ladybug (37), undies, gloves (39) , cotton,
 Jewelry (23), five (25), cat (3), coffee (9) ," amusement park",, Lingerie (14), six (10), hippo (25), fire (4) , movie theater (2),
 Bed (20), 40%, socks (8), Bonnie (8) , wings (57),, Past relationships (9), 60% (3), undies (3), Britney/Brittany , tail (3)  ,
 Penis (28), 80% (20), heights (37), friend's home (4) , food/milk (50),, Nipples/chest (35), 100% (3), flying (3), bar (32) , license plate,
 Cow (42), 15 (27), loser (25), cars (29) ," belt",, Pig (29), 13 (9), muscles (3), hair (22) , bra (51),
 5'7″ (7), wine (20), broccoli (26), golf ball (29) ," sponge",, 5'4″ (18), kissing (18), asparagus (4)- G.O. (Final answers: Peg , Swiffer),,
 School (23), happiness (2), pie (19), 200 (16) ," midwife (41)",, Church (18), communication (14), cookies, 100 (34) , husband (5),
 Cows (32), two (21), mom (18), boat (4) ," pee/poop (56)",, Mule (21), four (21), wife (25), car (50) , pick up baby,
 Butt (34), 10 (7), most (4), spouse/mate (24) ," hat (43)",, Arm, 5 (24), toast (42), mom (44) , boots,
 Diamond/jewelry (30), 30 (23), base (13), blocker (11) ," purse",, Flowers (15), 25 (21), marriage, crocker (2) , hat (41) ,
 Trumpet (21), house (6), 9 (11), style (13) ," mouth (49)",, Violin (25), cracker (20), 6 (6)- L (Final answers: Doggie's life , heart) ,,
 8 (21), brain/head/mind (32), ape, h/motel (40) ," fish (22)",, 9 (29), arms (7), mouth (9), car (8) , chicken (54),
 Zookeeper (11), 30 (23), flamingo (7), Philadelphia ," drive (29)",, Dogcatcher (3), 20 (7), stork, CA (50) , walk (58),
 Stomp their feet (12), 2hrs (25), lap (22), bad service (35) ," brown (21)",, Throw something (17), 4hrs (11), couch (39), dirty restaurant (15) , green (13),
 Five (14), read (21), ring (16), basket (21) ," Heineken (4)",, Three (22), pray, finger (22), foot (16) , Bob,
 Popcorn (3), scary movies (22), 8 (21), butterfly (4) ," mascara (23)",, Chips, spirits (2), 10 (41), housefly (46) , lipstick (53),
 50% (21), chips (19), chihuahua (5) ," Christmas (38)",,, 75% (2), pizza (28), St. Bernard (2), Thanksgiving (19) , magnifying glass (54),
 Seven, Elizabeth (24), spouse/mate (39), milk (46) ," arteries (12)",, Five (9), Mary (5), mom (44)- L (Final answers: Water , throat) ,,
 SUPERMAN (55), 60% (6), pizza (25), lotion (4) ," tusk (54)",, BATMAN (24), 50% (21), chicken (7), toothpaste (44) , husk ,
 Five (17), hot chocolate/cocoa (27), carpet (23) , soap (10),,, Two (17), blanket (20), coins, bed (31) , deodorant (45),
 10 (21), beside me, soup (3), zebra (13) , cleaning,, 9 (9), (room) only (21), oatmeal (24), cow (5) , bra (51),
 Diamond ring, kissing (14), 9 (3), plays (11) , boots (49),, Car (41), reading (30), 5 (26), books (20) , hat (2),
 Bone/treat/food (41), six (9), grandma (3), clean , brake light (27),, Owner (29), three (25), parents (24), look , license plate (8),
 Chicken (17), 8 (22), food (8), coconut (29) , KS (51),, Horse (11), 7 (21), car (24), banana , KY (49),
 6wks (6), bed (26), spouse/mate (33), priest , snattle ,, Five months (2), town, secret admirer, SUPERMAN (37) , cattle (19)  ,
 Food/restaurants (33), 5 (23), basketball (31), metal (29) , crayons (29),, Gas (3), 8 (13- 5 , 6 tied for #1), football (24), smoke/fire (43) , pencils
 Stomach (4), four (3), bathroom (36), down (6) , apartment (50),, Butt (28), one (19), living rm. (13), out (26) , car (32),
 50% (14), depression (3), pig (4), meth (12) , bad food,, 75% (15), debt (20), goat (2), clear (7) , car (4) ,
 Common sense (7), bikes (16), “Act” (23), four (15) , clothes/shoes (41),, Smell (3), horses (23), city, five (31) , bucket,
 One (34), sex (32), host (43), kid (21) , soap,, Three (20), dance (36), most (35), friend , tissue,
 Three (20), Chihuahua, serve (13), Sun (7) , tent (53),, Five (23), bulldog (7), taxes (22), oceans/beaches (30) , flashlight (4),
 Mom (22), 18 (9), Sun. (7), talk (43) , chocolate chips (48),, Dad (4), 12, Wed. (15), walk (26) , flour (8),
 Hr. (41), mom (33), pants (22) , alcohol/champagne (42),,, 1.5hrs, kid (10), belt (12), heirloom (3) , heels (18),
 Condom (33), cat (27), 40 (24), crying (8) , Mexico (49),, Phone #, rat (cat , horse tied for #1), 35 (31), eating (13) , Canada (51)
 Five (19), giraffe (45), toilet (46) , teeter-totter (50),,, 10 (8), dog (5), jaguar, sink (26) , slide (36),
 13 (2), car (18), cookies/candy (36), rub (45) , napkin (59),, 16 (13), elevator (19), soak in water (36) , hands ,,
 8 (13), porcupine, ready to, orange , pie (49),, 9 (4), cow (4), rowdy, red (37) , cake (15),
 Animals (38), two (5), spank, wash face (23) , Christmas (49),, Peanuts (9), four (11), skank (4), put PJs on (14) , Thanksgiving (5) ,
 21 (5), park (2), hot chocolate/cocoa (38), bird (16) , chair (58),, 18 (12), church (27), coffee (14), bat (25) , swing ,
 Set of boobs (6), three (7), (toe)nails (42), candles (44) , Italy (53),, Spouse/mate (22), two (20), hair (6), menorah , Greece,
 Mom (2), 5 (21), chip (28), lamb (28) , plastic (62),, Dad, 7 (3), pancake (3), chicken (45) , paper (37),
 Stomach/abs (27), seven (5), lily pad (11), monkey , claustrophobia (2),, Butt (4), 10 (7), jumping (14), chip (34) , exercise (57),
 Chest (10), 80% (5), (imaginary) friend (16), watching movies (18) , strip club (40),, Face (20), 50% (22), pet (36), playing cards (13) , in a hurricane,
 6 (10), cat (27), bread (28), body parts (42) , silver (32),, 10 (38), koala, man, clothes (47) , steel,
 Body/figure (29), building nests (5), four (4), ranger (40) , car (54),, Attitude (17), laying eggs, five (17), granger , home,
 Lion (5), bath (16), horn/instrument (28), 10 (31) , brush (59),, Mule (2), break (17), breathalyzer (14), 8 (19) , comb,
 Sister (31), 4 (9), horse (29), butt (41) , Thanksgiving (43),, Daughter, 1 (35), cow (30), thighs , Christmas,
 Home (18), 5 (12), eat (43), ketchup (42) , football (53),, Car (2), 8 (25), drink (33), relish , basketball,
 Cook/bake (26), 10 (23), chocolate/candy (10), tub (37) , dog (8),, Kiss (4), 9 (17), pizza (12), water (6) , person (46),
 8 (13), dog (24), pizza (3), take pics (9) , face (53),, 10 (9), cow (17), crackers (16) , hand (15),,
 Dad, jockey strap (16), 10 (31), peach , snore (61),, Spouse/mate (30), cleats, strawberry (43) , talk (21),,
 Body (39), nookie (25), 8 (32), mouth/lips (41) , milk (15),, Hair, lookie (3), 10 (13), eyes (33) , moo,
 Five (12), streak (2), piranha, doctor/dentist (33) , sled (6),, Three (24), freak (14), lion (26), nurse (16) , ski/snowboard (41),
 5 (15), fox, trash (16), car (22) , cheese (45),, 10 (21), dog, teeth (17), home/apartment (35) , meat (11) ,
 Spouse/mate (44), cow, 7 (5), fight (32) , bone (36),, Children (4), cake (13), 8 (7), talk (39) , toy (52),
 Friend (43), 7 (25), blue (16), pretzel (4) , wedding (24),, Mom (22), 8 (20), gold, wings (35) , funeral (58),
 7 (6), assistant (2), me (4), did a good job (13) , drawer (3),, 8 (14), lawyer (8), 13 (2), birthday (9) , socket (3),
 Black (36), 8 (26), family, fingers/hand (40) , bark (32),, White (24), 7 (11), Santa (31), pacifier , run,
 Jeans (28), 10 (32), marshmallows (41), lifetime (24) , head (38),, Pajamas (11- shorts tied for #1), eight (13), peanuts (22), blue moon , stomach,
 Basketball (12), Rain, 20 (26), fail (18) , bed (58),, Hockey, Belly, 21 (10), shale , floor (2),
 10 (22), hung (28), pool (22), ice cream , wake up (42),, 8 (8), dung (11), sea (16), caviar , brush teeth (19),
 Camel (16), 25 (21), frog (14), Sat. (15) , snake (49),, Donkey (12), 27 (4), clog (20), Fri. (7) , alligator,
 Back (48), 5 (19), snake, boss (29) , fire (45),, Neck (4), 7 (5), leprechaun, gloss (30) , Cub Scouts (2),
 Hat (10), church (23), 9 (29), hot tea (4) , up against their spouse (26),, Toys (21), football (29), 10 (38), coffee , socks (42),
 $500 (25), car (39), church (34), giraffe , cabinets,, $1K (18), corner office (3), watching football (11), elephant (40) , mouth (47),
 8 (25), wiener (7), milk (6), daisy (10) , Kingdom (12),, 10 (7- 5 tied for #1), golden retriever, shaker bottle, tulip (13) , Nations (10),
 Mom (12), set (2), strawberry (20), $100 (3) , able (12),, Spouse/mate (20), roll (25), bananas (13), $10K (8) , Mabel (2),
 Eat (2), two (13), butt (41), milk (45) , traps (32),, Pray (2), three (6), legs (8), sugar (22) , people,
 Nose (38), 30 (29), nickel (23), rat (31) , spouse/mate (45),, Hat (6), 25 (21), iron , snake (14),,
 8 (21), preacher (6), perfume (22), Pacific (49) , red (57),, 4 (4), choir (2), meat (3), Atlantic (48) , green,
 1 (35), find new job (15), love , cat (46),,, 5 (15), throw something, spouse/mate (6), Mickey (29) , squirrel,
 Phone, 8 (9), spouse/mate (36), tiger (28) , shrimp (4),, Animals (15), 7 (10), kids (15), lion (23) , chicken (49) ,
 Walk through door (2), 10 (2), sofa (11), neck (45) , cheese (57),, Go to bathroom (39), 9 (2), refrigerator (21), wrist , peanut butter (34),
 5 (15), lion (34), coins (32- tied for #1 w/ water), apple (38) , hammer (57),, 8 (28), tiger, treasure, lime , screwdriver ,
 5 (13), strawberry (24), bushes (5), pencil (35) , World Wide (23),, 1 (19), car (12) , sword (16- pen tied for #1),,,
 OR, 40 (32), Bernard, kiss (12) , kill it (12),, CO, 35 (10), boxer (24), sit , scream (47),
 Mom (16), 5 (8), basketball (25), worms (37) , face (51),, Bridesmaid/maid of honor (39), 1 (11), football (19), seeds , ear(s),
 Lost (27), frank, catching (31), 10 (24) , chairs (20),, Dropped (19), faint (32), hitting/batting (32), eight , table (28),
 Dance (3), 2 (14), basketball (8), chair (30) , soup (50),, Travel (30), 5 (27), “People's” (17), towels (2) , ice cream (14),
 Pigeon (5), milkshake, four (27), wake up/get up (31) , guest,, Duck (12), ketchup (2), 12, get dressed (14) , Valentine (45),
 8 (16), hold (9), pizza (17), CA (51) , Apr. (59),, 10 (33), fold (16), steak, CT , May,
 Home (44), 8 (28), watch football (33), legs (26) , dingle,, Car (2), 7 (7), sleep (3), elbow/arm (47) , shingle,
 10 (4), sandwiches (9), base (21), kids (14) , bowling (17),, 8 (17), pie, choice, neighbors (10) , hockey (5) ,
 Mom (31), mile (32), cigarettes (25), phone number (47) , two (47),, Child, wild, wolves (34), address , one ,
 Jacket/coat (20), four, Fruity Pebbles (3), teach (34) , to the park,, Long-sleeve shirt (12), 10 (13), Cinnamon Toast Crunch, preach (3) , sit (48),
 $500 (2), horse (42), going outside (3), face (21) , Terry,, $100 (27), hyena (7), nap (5), toes (36) , Harry (53),
 10 (19), dog/pet (37), sob (40), watching movie/TV (47) , flowers (44),, 9 (4), car (29), whine, folding clothes , chocolate/candy,
 Cello (6), nerd (7), money/salary (47), 10 (41) , ketchup (42),, Guitar (2), turd (26), job (44), 5 , mustard,
 7AM (39), ankle (8), fried chicken (4), balls (45) , hair (43),, 8AM (39), leg (20), fries (42), stick , tooth,
 5 (19), hater (2), fish (12), ball (31) , rock,, 1 (21), best friend (2), frog (31), STOP sign , liner (7),
 Back (29), 30 (8), drives (6), hair (33) , perfume/cologne (41),, Lips, 25 (10), eats (11), clothes (13) , flowers (14),
 Driving (4), basketball (25), sofa (10), fries , 30 (46),, Sex (3), soccer (18), stove (19), (cheese)burger , 60 (13),
 8 (21), owl (6), skater (32), hat (47) , mosquito (7),, 7 (14), orangutan (12), eight (41), saddle (6) , cockroach (5),
 Three (6), blue (12), water (36), police (20) , Disneyland,, Seven, Swiss (24), alcohol (25), firefighter (47) , birthday (42),
 Donald Duck (33), 7 (23), basketball (38), bed (41) , lollar,, Goofy (15), 8 (23), soccer (30), dinner , holler,
 90% (13), NOTHING (23), all (26), kitten (26) , sesame,, 50% (13), hat (12), good (18), bunny (7) , watermelon,
